rank,athlete,age,school,eventName,eventCategory,round,seed,mark,wind,points
45,Michael Lambert,17,Porus High,800 Meter Run,Track,NA,2:05.24,2:07.98,NA,NA
46,Sadeakie Morgan,17,Bog Walk High SC,800 Meter Run,Track,NA,2:05.57,2:08.85,NA,NA
47,Jovane Williams,18,Mannings High,800 Meter Run,Track,NA,2:06.70,2:08.91,NA,NA
48,Alwayne Jones,18,Tacius Golding H,800 Meter Run,Track,NA,2:01.22,2:11.87,NA,NA
49,Shanado Clarke,17,Winston Jones High,800 Meter Run,Track,NA,2:08.29,2:13.04,NA,NA
50,Llewellyn Woodburn,17,Bellefield High,800 Meter Run,Track,NA,2:03.00,2:14.52,NA,NA
51,Delroy Watson,17,Kellits High,800 Meter Run,Track,NA,2:09.35,2:16.62,NA,NA
52,Rohan Brown,18,Papine High School,800 Meter Run,Track,NA,2:09.40,2:17.46,NA,NA
53,Kenne Clarke,17,Petersfield High,800 Meter Run,Track,NA,2:02.00,2:21.53,NA,NA
1,Rushelle Burton,13,St. Andrew High,200 Meter Dash,Track,NA,25.10,25.58,NA,NA
2,Kishauna Smith,13,Herbert Morrison,200 Meter Dash,Track,NA,25.16,25.71,NA,NA
3,Sidney Marshall,12,Manchester High,200 Meter Dash,Track,NA,26.24,26.01,NA,NA
4,Jody-Ann Petrie,13,Excelsior High,200 Meter Dash,Track,NA,25.54,26.11,NA,NA
5,Shanice Brown,13,Edwin Allen High,200 Meter Dash,Track,NA,25.17,26.14,NA,NA
6,Shellece Clark,12,Edwin Allen High,200 Meter Dash,Track,NA,25.64,26.18,NA,NA
7,Satanya Wright,12,St. Elizabeth TE,200 Meter Dash,Track,NA,24.73,26.36,NA,NA
8,Safiya Thompson,13,St. Jago High,200 Meter Dash,Track,NA,25.54,26.48,NA,NA
9,Okalia Buchanan,13,Wolmers Girls,200 Meter Dash,Track,NA,26.48,25.73,NA,NA
10,Ayeshia Morgan,13,Hydel High,200 Meter Dash,Track,NA,26.98,26.34,NA,NA
11,Debra Foster,13,Irwin High,200 Meter Dash,Track,NA,26.60,26.39,NA,NA
12,Reckasha Brooks,13,Holmwood Technical,200 Meter Dash,Track,NA,26.59,26.42,NA,NA
13,Junelle Bromfield,13,St. Elizabeth TE,200 Meter Dash,Track,NA,25.01,26.62,NA,NA
14,Taqece Duggan,13,Hydel High,200 Meter Dash,Track,NA,26.30,26.73,NA,NA
15,Kaydean Vassel,13,St. Andrew High,200 Meter Dash,Track,NA,25.73,27.03,NA,NA
16,Randese Ennis,13,Camperdown High,200 Meter Dash,Track,NA,26.74,27.20,NA,NA
17,Renee Shaw,13,Excelsior High,200 Meter Dash,Track,NA,26.00,26.65,NA,NA
18,Natalie Walters,13,Holmwood Technical,200 Meter Dash,Track,NA,26.23,26.67,NA,NA
19,Tissann Hickling,13,St. Jago High,200 Meter Dash,Track,NA,26.34,26.89,NA,NA
20,Danielle Thompson,13,Manchester High,200 Meter Dash,Track,NA,25.64,27.09,NA,NA
21,Christina Reece,13,Herbert Morrison,200 Meter Dash,Track,NA,27.14,27.15,NA,NA
22,Dominique Higgins,13,St. Hugh's High,200 Meter Dash,Track,NA,27.54,27.23,NA,NA
23,Camay Passley,13,Titchfield High,200 Meter Dash,Track,NA,27.07,27.28,NA,NA
24,Janeek Brown,13,Wolmers Girls,200 Meter Dash,Track,NA,27.00,27.38,NA,NA
25,Masseney Willis,13,ST Thomas Technical,200 Meter Dash,Track,NA,27.02,27.49,NA,NA
26,Rhain Chong,12,Convent OF Mercy,200 Meter Dash,Track,NA,27.95,27.66,NA,NA
27,Tasha Bailey,13,Tacius Golding H,200 Meter Dash,Track,NA,28.44,27.87,NA,NA
28,Britania Vassell,13,Winston Jones High,200 Meter Dash,Track,NA,27.94,27.95,NA,NA
29,Tashauna Griffiths,13,Jonathan Grant High,200 Meter Dash,Track,NA,27.57,28.01,NA,NA
30,Shantae Lawes,13,Holy  Childhood,200 Meter Dash,Track,NA,27.39,28.02,NA,NA
31,Tamara Clarke,12,Central High,200 Meter Dash,Track,NA,28.10,28.11,NA,NA
32,Lydia Brown,13,Holy  Childhood,200 Meter Dash,Track,NA,25.89,28.11,NA,NA
33,Marlene Powell,13,May Day High,200 Meter Dash,Track,NA,26.95,28.12,NA,NA
34,Renae Shaw,13,Guy's Hill High,200 Meter Dash,Track,NA,28.54,28.17,NA,NA
35,MACKINEE Richards,13,St. Hugh's High,200 Meter Dash,Track,NA,27.64,28.17,NA,NA
36,Amanda Anderson,12,Lewisville High,200 Meter Dash,Track,NA,27.18,28.38,NA,NA
37,Christina Hinds,13,Cumberland High,200 Meter Dash,Track,NA,27.91,28.38,NA,NA
38,Ronice Reid,13,Glenmuir High,200 Meter Dash,Track,NA,27.14,28.41,NA,NA
39,Tanile Powell,13,Bustamante High,200 Meter Dash,Track,NA,28.08,28.53,NA,NA
40,Shadane Johnson,13,Ocho Rios High,200 Meter Dash,Track,NA,28.44,28.75,NA,NA
41,Sadae Pettigrew,13,St. Catherine High,200 Meter Dash,Track,NA,28.28,28.75,NA,NA
42,Tiann Hemmings,12,Brown's Town High,200 Meter Dash,Track,NA,28.66,28.88,NA,NA
43,Jezelle Shaw,13,Mile Gully High,200 Meter Dash,Track,NA,27.30,29.04,NA,NA
44,Roberta Wray,12,Happy Grove High,200 Meter Dash,Track,NA,28.79,29.04,NA,NA
45,Shabbesha Waldin,13,Spot Valley High,200 Meter Dash,Track,NA,28.57,29.11,NA,NA
46,Rowena Edwards,13,Cross Keys High,200 Meter Dash,Track,NA,27.54,29.14,NA,NA
47,Shanice Blake,13,Penwood High,200 Meter Dash,Track,NA,28.71,29.38,NA,NA
48,Kinshasa Samuels,13,Campion College,200 Meter Dash,Track,NA,28.84,29.46,NA,NA
49,Nicholette Levene,13,Glenmuir High,200 Meter Dash,Track,NA,27.64,29.47,NA,NA
50,Lori-Ann Richards,13,Bustamante High,200 Meter Dash,Track,NA,27.82,29.60,NA,NA
51,Nicole Griffiths,13,Spalding High,200 Meter Dash,Track,NA,28.95,29.69,NA,NA
52,Renee English,13,St. Hildas High,200 Meter Dash,Track,NA,null,29.74,NA,NA
53,Brittany Edwards,12,The Queen's School,200 Meter Dash,Track,NA,28.84,29.78,NA,NA
54,Shantell  R Wright,13,Cross Keys High,200 Meter Dash,Track,NA,26.28,29.83,NA,NA
55,Abbey-Gayle Rose,13,Lewisville High,200 Meter Dash,Track,NA,27.68,29.84,NA,NA
56,Chavelle Kavanaugh,13,Jonathan Grant High,200 Meter Dash,Track,NA,25.74,30.03,NA,NA
57,Keisha Smith,13,Donald Quarrie H,200 Meter Dash,Track,NA,27.91,30.22,NA,NA
58,Keeva Barrett,13,Gaynstead High S,200 Meter Dash,Track,NA,27.77,32.62,NA,NA
--,Abigail Basaragh,12,Central High,200 Meter Dash,Track,NA,28.60,DNS,NA,NA
--,Tamara Casey,14,Fair Prospect High,200 Meter Dash,Track,NA,28.66,DNS,NA,NA
--,Ysanne Haughton,13,William Knibb High,200 Meter Dash,Track,NA,26.94,DNS,NA,NA
1,Kimberly Williamson,17,Edwin Allen High,High Jump,Field,NA,1.88m,1.55m,NA,NA
1,Opal James,16,St. Elizabeth TE,High Jump,Field,NA,1.50m,1.55m,NA,NA
1,Shanice McPherson,16,Holmwood Technical,High Jump,Field,NA,1.65m,1.55m,NA,NA
1,Krista-Gay Taylor,16,Convent OF Mercy,High Jump,Field,NA,1.70m,1.55m,NA,NA
1,Shanice Lee,17,Oberlin High,High Jump,Field,NA,1.65m,1.55m,NA,NA
1,Chennel Palmer,16,Vere Technical,High Jump,Field,NA,1.70m,1.55m,NA,NA
7,Dhanyel Johnson,17,St. Andrew High,High Jump,Field,NA,1.55m,1.50m,NA,NA
7,Asheed Adams,17,St. Jago High,High Jump,Field,NA,1.55m,1.50m,NA,NA
7,Briana Wright,16,Buff Bay High,High Jump,Field,NA,1.60m,1.50m,NA,NA
--,Kglesia Hunter,16,Seaforth High,High Jump,Field,NA,1.35m,NH,NA,NA
--,Micashime Porter,16,Knockalva Technical,High Jump,Field,NA,1.35m,NH,NA,NA
1,Michellae Walker,16,St. Andrew High,High Jump,Field,NA,1.55m,1.55m,NA,NA
1,Tamoya Walters,17,St. Jago High,High Jump,Field,NA,1.65m,1.55m,NA,NA
1,Rashema Briscoe,17,Edwin Allen High,High Jump,Field,NA,1.65m,1.55m,NA,NA
1,Tatiana Wolfe,16,Convent OF Mercy,High Jump,Field,NA,1.70m,1.55m,NA,NA
1,Mistry Chisolm,16,Excelsior High,High Jump,Field,NA,1.50m,1.55m,NA,NA
1,Chenika Jones,16,McGRATH High,High Jump,Field,NA,1.60m,1.55m,NA,NA
1,Chanice Porter,17,Manchester High,High Jump,Field,NA,1.80m,1.55m,NA,NA
8,Sheyinka Harry,16,Hampton School,High Jump,Field,NA,1.45m,1.50m,NA,NA
8,Shanice Marshall,16,Holmwood Technical,High Jump,Field,NA,1.55m,1.50m,NA,NA
--,Antenia Henry,16,St. Elizabeth TE,High Jump,Field,NA,1.65m,DNS,NA,NA
1,Sashalee Forbes,15,Holmwood Technical,200 Meter Dash,Track,NA,25.40,25.28,NA,NA
2,Shawna Helps,14,Wolmers Girls,200 Meter Dash,Track,NA,24.50,25.43,NA,NA
3,Juel Silvera,15,Herbert Morrison,200 Meter Dash,Track,NA,25.61,25.47,NA,NA
4,Christena Gayle,14,Manchester High,200 Meter Dash,Track,NA,25.42,25.57,NA,NA
5,Janielle Smith,15,Wolmers Girls,200 Meter Dash,Track,NA,25.04,25.62,NA,NA
6,Ashley Williams,14,Muschett High,200 Meter Dash,Track,NA,25.25,25.76,NA,NA
7,Ashley Stephen,15,Glenmuir High,200 Meter Dash,Track,NA,25.37,25.89,NA,NA
8,Chante Robert,14,Vere Technical,200 Meter Dash,Track,NA,25.59,26.15,NA,NA
9,Yonique Richards,15,Vere Technical,200 Meter Dash,Track,NA,25.71,25.60,NA,NA
10,Peta-Gay Williams,15,Camperdown High,200 Meter Dash,Track,NA,24.63,25.63,NA,NA
11,Saqukine Cameron,15,Edwin Allen High,200 Meter Dash,Track,NA,23.33,25.68,NA,NA
12,Christine Moss,14,St. Elizabeth TE,200 Meter Dash,Track,NA,24.64,25.93,NA,NA
13,Yeashchea Williams,14,Dinthill Technic,200 Meter Dash,Track,NA,27.00,26.09,NA,NA
14,Regena Jackson,15,Immaculate Conce,200 Meter Dash,Track,NA,26.20,26.24,NA,NA
15,Natallia Whyte,14,St. Jago High,200 Meter Dash,Track,NA,24.84,26.25,NA,NA
16,Diana Johnson,15,Holmwood Technical,200 Meter Dash,Track,NA,24.21,26.41,NA,NA
17,Georgiana Gordon,15,St. Jago High,200 Meter Dash,Track,NA,25.58,25.68,NA,NA
18,Amanda Carty,14,Hydel High,200 Meter Dash,Track,NA,26.30,26.02,NA,NA
19,Ashley Baker,14,Excelsior High,200 Meter Dash,Track,NA,26.74,26.07,NA,NA
20,Sasha-Kaye Tracey,14,Herbert Morrison,200 Meter Dash,Track,NA,25.79,26.26,NA,NA
21,Shannell Hibbert,14,Camperdown High,200 Meter Dash,Track,NA,25.17,26.30,NA,NA
22,Natasha Walker,15,Bog Walk High SC,200 Meter Dash,Track,NA,25.64,26.39,NA,NA
23,Tracy-Ann May,15,Edwin Allen High,200 Meter Dash,Track,NA,25.35,26.67,NA,NA
24,Shantae Newby,15,The Queen's School,200 Meter Dash,Track,NA,25.98,26.67,NA,NA
25,Marlene Gardner,14,Godfrey Stewart,200 Meter Dash,Track,NA,26.86,26.69,NA,NA
26,Janeal Brown,15,Manchester High,200 Meter Dash,Track,NA,26.24,26.69,NA,NA
27,Shannakay Henry,15,Excelsior High,200 Meter Dash,Track,NA,26.54,26.76,NA,NA
28,Samara McDonald,15,Guy's Hill High,200 Meter Dash,Track,NA,27.07,26.76,NA,NA
29,Dawna-Lee Loney,15,Balaclava High,200 Meter Dash,Track,NA,26.22,26.89,NA,NA
30,Makeeda Tucker,14,Hydel High,200 Meter Dash,Track,NA,26.74,26.89,NA,NA
31,Shadae Clarke,15,William Knibb High,200 Meter Dash,Track,NA,27.24,26.93,NA,NA
32,Shacquera Wright,15,Jonathan Grant High,200 Meter Dash,Track,NA,27.22,26.99,NA,NA
33,Toni-Ann Nelson,14,St. Hugh's High,200 Meter Dash,Track,NA,27.00,27.04,NA,NA
34,Tasheena Ewan,15,Central High,200 Meter Dash,Track,NA,25.70,27.08,NA,NA
35,Annastacia Barham,14,DeCARTERET College,200 Meter Dash,Track,NA,27.80,27.08,NA,NA
36,Makayda Palmer,14,Convent OF Mercy,200 Meter Dash,Track,NA,27.02,27.09,NA,NA
37,Crystal Haughton,15,Irwin High,200 Meter Dash,Track,NA,26.01,27.16,NA,NA
38,Ashli Campbell,15,Bog Walk High SC,200 Meter Dash,Track,NA,26.80,27.19,NA,NA
39,Traveinna Blackeller,14,Muschett High,200 Meter Dash,Track,NA,26.06,27.25,NA,NA
40,Amoy Francis,15,Claude McKAY High,200 Meter Dash,Track,NA,26.47,27.40,NA,NA
41,Michaela Salkey,14,Immaculate Conce,200 Meter Dash,Track,NA,27.54,27.48,NA,NA
42,Chennel Lawrence,14,Holy  Childhood,200 Meter Dash,Track,NA,26.40,27.54,NA,NA
43,Shanice Jackson,15,Holy  Childhood,200 Meter Dash,Track,NA,26.64,27.71,NA,NA
44,Shantal Morgan,15,Titchfield High,200 Meter Dash,Track,NA,27.47,27.89,NA,NA
45,Shemoy Reid,15,Yallahs High,200 Meter Dash,Track,NA,27.22,27.95,NA,NA
46,Tameka Brooks,15,Bellefield High,200 Meter Dash,Track,NA,27.82,27.95,NA,NA
47,Shurane Elliot,14,Old Harbour High,200 Meter Dash,Track,NA,26.65,28.00,NA,NA
48,Trishawna Crawford,14,Seaforth High,200 Meter Dash,Track,NA,27.17,28.03,NA,NA
49,Yandene Samuels,15,Papine High School,200 Meter Dash,Track,NA,27.94,28.09,NA,NA
50,Jhanique Clarke,14,The Queen's School,200 Meter Dash,Track,NA,26.14,28.10,NA,NA
51,Ninagail Cunningham,15,Claude McKAY High,200 Meter Dash,Track,NA,27.16,28.14,NA,NA
52,Kimmone Lawrence,15,Bustamante High,200 Meter Dash,Track,NA,27.48,28.39,NA,NA
53,Sanda Dunkley,15,Hampton School,200 Meter Dash,Track,NA,26.80,28.40,NA,NA
54,Andrea Malcolm,14,Winston Jones High,200 Meter Dash,Track,NA,27.94,29.32,NA,NA
55,Nichole Alexander,14,May Day High,200 Meter Dash,Track,NA,27.85,29.53,NA,NA
56,Nasanya Russell,14,Lennon High,200 Meter Dash,Track,NA,27.90,29.70,NA,NA
--,Shauna-Gay Pusey,15,Glenmuir High,200 Meter Dash,Track,NA,26.33,DNF,NA,NA
--,Tasheka Dennis,14,Cross Keys High,200 Meter Dash,Track,NA,26.32,DNS,NA,NA
1,Sabina Allen,16,Vere Technical,Triple Jump,Field,NA,11.56m,12.63m,4.5,9
2,Avril McGhee,19,St. Jago High,Triple Jump,Field,NA,11.68m,12.58m,4.9,7
3,Nickeva Wilson,19,Camperdown High,Triple Jump,Field,NA,10.75m,12.32m,7.6,6
4,Tamara Moncrieffe,15,Holmwood Technical,Triple Jump,Field,NA,11.88m,12.22m,6.0,5
5,Opal James,16,St. Elizabeth TE,Triple Jump,Field,NA,11.76m,12.21m,2.1,4
6,Kris-Ann Walters,19,St. Jago High,Triple Jump,Field,NA,11.53m,12.14m,2.9,3
7,Kimberly Stevens,19,Holmwood Technical,Triple Jump,Field,NA,11.63m,12.12m,5.6,2
8,Jehvannia Vidal-Whyte,15,Vere Technical,Triple Jump,Field,NA,11.31m,11.75m,4.7,1
9,Shantele Shirley,19,The Queen's School,Triple Jump,Field,NA,11.83m,11.71m,7.4,null
9,Kimberly Williamson,17,Edwin Allen High,Triple Jump,Field,NA,11.63m,11.71m,7.0,null
11,Shenelle McKay,17,Convent OF Mercy,Triple Jump,Field,NA,11.56m,11.53m,4.5,null
12,Kristen Deacon,15,Wolmers Girls,Triple Jump,Field,NA,11.47m,11.15m,3.8,null
13,Brenda Barnett,18,Edwin Allen High,Triple Jump,Field,NA,11.01m,11.08m,5.5,null
--,Lecia Dale,18,Mannings High,Triple Jump,Field,NA,10.36m,FOUL,null,null
--,Natasha Patterson,16,Wolmers Girls,Triple Jump,Field,NA,10.79m,FOUL,null,null
1,Michael Ohara,14,Calabar High,200 Meter Dash,Track,NA,23.31,23.45,NA,NA
2,Devaughn Baker,14,Jamaica College,200 Meter Dash,Track,NA,23.34,23.46,NA,NA
3,Rojay Ottey,14,Munro College,200 Meter Dash,Track,NA,23.28,23.52,NA,NA
4,Raje Fearon,13,Kingston College,200 Meter Dash,Track,NA,23.25,23.58,NA,NA
5,Karey Kelly,14,Wolmers' Boys SC,200 Meter Dash,Track,NA,22.54,23.79,NA,NA
6,Javauri Mitchell,14,Munro College,200 Meter Dash,Track,NA,23.44,24.06,NA,NA
7,Jordan James,13,Wolmers' Boys SC,200 Meter Dash,Track,NA,22.61,24.10,NA,NA
8,Rashaad Saunderson,14,Kingston College,200 Meter Dash,Track,NA,24.04,23.73,NA,NA
9,Caliph Mais,14,Camperdown High,200 Meter Dash,Track,NA,24.45,23.92,NA,NA
10,Romario Clarke,14,Hydel High,200 Meter Dash,Track,NA,23.84,24.10,NA,NA
11,Raheem Chambers,13,St. Jago High,200 Meter Dash,Track,NA,23.25,24.17,NA,NA
12,Kyno Blackwood,14,Jamaica College,200 Meter Dash,Track,NA,24.08,24.30,NA,NA
13,Travis Daley,14,Herbert Morrison,200 Meter Dash,Track,NA,23.80,24.34,NA,NA
14,Andre Rodney,14,Muschett High,200 Meter Dash,Track,NA,24.23,24.49,NA,NA
15,Seanie Selvin,14,Calabar High,200 Meter Dash,Track,NA,24.18,23.90,NA,NA
16,Romario Grinnan,14,Old Harbour High,200 Meter Dash,Track,NA,23.76,24.10,NA,NA
17,Nicholas Ellis-Davis,14,Christiana High,200 Meter Dash,Track,NA,23.51,24.16,NA,NA
18,Johnoy Brown,14,Fair Prospect High,200 Meter Dash,Track,NA,24.33,24.49,NA,NA
19,Brandon Grey,14,Cornwall College,200 Meter Dash,Track,NA,25.30,24.60,NA,NA
20,Brandon Robinson,13,Camperdown High,200 Meter Dash,Track,NA,25.24,24.62,NA,NA
21,Roje Jackson-Chin,14,St. Jago High,200 Meter Dash,Track,NA,23.42,24.63,NA,NA
22,Nicholas Alexander,13,Manchester High,200 Meter Dash,Track,NA,24.65,24.67,NA,NA
23,Mario Morgan,14,Charlemont High,200 Meter Dash,Track,NA,25.04,24.67,NA,NA
24,Xavior Angus,13,Dinthill Technic,200 Meter Dash,Track,NA,24.75,24.68,NA,NA
25,Kemo Powell,14,Haile Selassie High,200 Meter Dash,Track,NA,null,24.77,NA,NA
26,Darrenton Gayle,14,William Knibb High,200 Meter Dash,Track,NA,24.07,24.80,NA,NA
27,Nicholas Shand,14,Old Harbour High,200 Meter Dash,Track,NA,24.07,24.86,NA,NA
28,Kieron Parsons,14,Ferncourt High,200 Meter Dash,Track,NA,25.03,24.87,NA,NA
29,Bajio Barrett,14,Seaforth High,200 Meter Dash,Track,NA,24.43,24.88,NA,NA
30,Johan Weatherly,14,Herbert Morrison,200 Meter Dash,Track,NA,24.54,24.90,NA,NA
31,Gilbert Cummings,14,Godfrey Stewart,200 Meter Dash,Track,NA,25.13,24.96,NA,NA
32,Travice Whyte,14,Charlemont High,200 Meter Dash,Track,NA,24.84,25.02,NA,NA
33,Nigel Francis,14,Manchester High,200 Meter Dash,Track,NA,24.75,25.03,NA,NA
34,Orlando White,14,Albert Town High,200 Meter Dash,Track,NA,23.74,25.06,NA,NA
35,Oshane Hylton,14,Green Island High,200 Meter Dash,Track,NA,23.97,25.07,NA,NA
36,Ryon Sparks,13,Claude McKAY High,200 Meter Dash,Track,NA,25.55,25.15,NA,NA
37,Thor Samuels,14,St. Catherine High,200 Meter Dash,Track,NA,24.33,25.26,NA,NA
38,Raphael Walker,13,Seaforth High,200 Meter Dash,Track,NA,25.15,25.27,NA,NA
39,Oshane Smith,13,Petersfield High,200 Meter Dash,Track,NA,23.37,25.33,NA,NA
40,Desmond Lawson,14,St. James High,200 Meter Dash,Track,NA,23.76,25.34,NA,NA
41,Najae Archibald,13,Campion College,200 Meter Dash,Track,NA,25.50,25.34,NA,NA
42,Leonardo Campbell,14,Brown's Town High,200 Meter Dash,Track,NA,25.05,25.47,NA,NA
43,Damane Dixon,13,Dinthill Technic,200 Meter Dash,Track,NA,25.21,25.47,NA,NA
44,Telphia Hines,14,Donald Quarrie H,200 Meter Dash,Track,NA,24.46,25.47,NA,NA
45,Delano Ellis,14,Spot Valley High,200 Meter Dash,Track,NA,25.64,25.51,NA,NA
46,Marco Doodnaughtsingh,14,Kemps Hill High,200 Meter Dash,Track,NA,25.20,25.53,NA,NA
47,Schdrique Griffiths,14,Papine High School,200 Meter Dash,Track,NA,25.04,25.61,NA,NA
48,Mario Barnes,13,St. Elizabeth TE,200 Meter Dash,Track,NA,23.65,25.65,NA,NA
49,Daniel Green,14,Tivoli Gardens High,200 Meter Dash,Track,NA,24.70,25.76,NA,NA
50,Gayon Reid,14,May Day High,200 Meter Dash,Track,NA,24.80,25.76,NA,NA
51,Hackeem Gardener,14,Central High,200 Meter Dash,Track,NA,25.24,25.89,NA,NA
52,Moore Williams,14,Donald Quarrie H,200 Meter Dash,Track,NA,25.04,26.34,NA,NA
53,Jovel Cunningham,14,Maud McLEOD,200 Meter Dash,Track,NA,25.16,26.93,NA,NA
54,Rendol Edwards,14,Papine High School,200 Meter Dash,Track,NA,24.44,27.10,NA,NA
55,Richard Blake,14,St. James High,200 Meter Dash,Track,NA,25.17,27.20,NA,NA
56,Ahkeem Rose,12,St. Andrew College,200 Meter Dash,Track,NA,24.95,30.36,NA,NA
1,Claudette Allen,16,Edwin Allen High,200 Meter Dash,Track,NA,24.44,24.29,NA,NA
2,Sherieka Jackson,17,Vere Technical,200 Meter Dash,Track,NA,23.81,24.79,NA,NA
3,Chanice Bonner,16,The Queen's School,200 Meter Dash,Track,NA,24.66,25.24,NA,NA
4,Kedisha Dallas,16,Holmwood Technical,200 Meter Dash,Track,NA,24.44,25.63,NA,NA
5,Cardine Copeland,17,Wolmers Girls,200 Meter Dash,Track,NA,25.02,25.65,NA,NA
6,Melissa Williams,17,St. Jago High,200 Meter Dash,Track,NA,24.64,25.79,NA,NA
7,Jodean Williams,17,St. Mary High,200 Meter Dash,Track,NA,25.33,24.88,NA,NA
8,Satima Chambers,16,Vere Technical,200 Meter Dash,Track,NA,25.16,25.33,NA,NA
9,Dejah Stewart,17,Edwin Allen High,200 Meter Dash,Track,NA,25.33,25.56,NA,NA
10,Oshin Brooks-Gillings,16,Convent OF Mercy,200 Meter Dash,Track,NA,25.18,25.72,NA,NA
11,Kerry-Ann Richardson,17,St. Jago High,200 Meter Dash,Track,NA,25.64,25.94,NA,NA
12,Samantha James,17,Papine High School,200 Meter Dash,Track,NA,26.14,26.03,NA,NA
13,Kissi-Ann Brown,16,Wolmers Girls,200 Meter Dash,Track,NA,25.34,24.98,NA,NA
14,Daniella Kerr,17,Herbert Morrison,200 Meter Dash,Track,NA,25.74,25.65,NA,NA
15,Kenesha Stephens,17,Herbert Morrison,200 Meter Dash,Track,NA,25.74,25.66,NA,NA
16,Channiel Johnson,16,William Knibb High,200 Meter Dash,Track,NA,25.74,25.67,NA,NA
17,Asaine Hall,16,Petersfield High,200 Meter Dash,Track,NA,25.74,25.81,NA,NA
18,Christal Morgan,17,Holmwood Technical,200 Meter Dash,Track,NA,25.70,26.26,NA,NA
19,Lasahana Dennis,17,St. Elizabeth TE,200 Meter Dash,Track,NA,25.02,26.33,NA,NA
20,Khadijah Anderson,17,Tacius Golding H,200 Meter Dash,Track,NA,25.90,26.35,NA,NA
21,Donya Ewers,17,The Queen's School,200 Meter Dash,Track,NA,25.96,26.35,NA,NA
22,Kimona Shaw,17,William Knibb High,200 Meter Dash,Track,NA,26.14,26.38,NA,NA
23,Ashley Mylera,16,Green Island High,200 Meter Dash,Track,NA,26.04,26.38,NA,NA
24,Ardine Archibald,16,Knox College,200 Meter Dash,Track,NA,25.34,26.38,NA,NA
25,Syfronia Webster,17,Brown's Town High,200 Meter Dash,Track,NA,26.83,26.60,NA,NA
26,Shavel Silvera,17,Bog Walk High SC,200 Meter Dash,Track,NA,26.72,26.61,NA,NA
27,Vanessa Crooks,17,Immaculate Conce,200 Meter Dash,Track,NA,26.85,26.72,NA,NA
28,Yeneque Wood House,17,Old Harbour High,200 Meter Dash,Track,NA,25.56,26.80,NA,NA
29,Sherrona Williams,17,Green Island High,200 Meter Dash,Track,NA,25.16,26.86,NA,NA
30,Nickeisha Gordon,17,Bellefield High,200 Meter Dash,Track,NA,25.62,26.90,NA,NA
31,Shareen Gordon,16,Guy's Hill High,200 Meter Dash,Track,NA,26.86,26.95,NA,NA
32,Marisa Daley,17,Irwin High,200 Meter Dash,Track,NA,27.23,27.27,NA,NA
33,Antionette Salmon,17,Penwood High,200 Meter Dash,Track,NA,27.12,27.30,NA,NA
34,Tameca Wallace,17,Bellefield High,200 Meter Dash,Track,NA,25.48,27.53,NA,NA
35,Crystal Campbell,17,St. Hugh's High,200 Meter Dash,Track,NA,25.50,27.73,NA,NA
36,Kadeen Martin,17,Godfrey Stewart,200 Meter Dash,Track,NA,27.20,27.75,NA,NA
37,Shantal Miller,16,Porus High,200 Meter Dash,Track,NA,26.30,27.81,NA,NA
38,Terry Ann Scott,16,Ocho Rios High,200 Meter Dash,Track,NA,27.19,28.02,NA,NA
39,Lakeisha Gilfillian,16,Lennon High,200 Meter Dash,Track,NA,27.20,28.52,NA,NA
40,Kaisha Ogilvie,16,Ardenne High,200 Meter Dash,Track,NA,27.00,28.69,NA,NA
41,Nakia Johnson,16,Muschett High,200 Meter Dash,Track,NA,27.60,28.69,NA,NA
--,Shanel Dennis,16,Bridgeport High,200 Meter Dash,Track,NA,26.40,DNS,NA,NA
--,Tashae Russell,17,St. Elizabeth TE,200 Meter Dash,Track,NA,25.68,DNS,NA,NA
--,Nadine Edwards,17,Claude McKAY High,200 Meter Dash,Track,NA,26.24,DNS,NA,NA
1,Julio Edwards,16,St. Elizabeth TE,200 Meter Dash,Track,NA,22.18,22.55,NA,NA
2,Jevaughn Minzie,16,Bog Walk High SC,200 Meter Dash,Track,NA,21.90,22.74,NA,NA
3,Deshawn Jackson,16,Jamaica College,200 Meter Dash,Track,NA,21.40,22.78,NA,NA
4,Denval Daley,16,St. Elizabeth TE,200 Meter Dash,Track,NA,21.51,22.88,NA,NA
5,Tyler Mason,16,Jamaica College,200 Meter Dash,Track,NA,22.20,22.90,NA,NA
6,Lennox Williams,16,Manchester High,200 Meter Dash,Track,NA,22.44,22.98,NA,NA
7,Kaneil Harrison,16,Munro College,200 Meter Dash,Track,NA,21.87,23.01,NA,NA
8,Tevin Wilson,15,Munro College,200 Meter Dash,Track,NA,22.10,23.14,NA,NA
9,Chadwayne Vidal,16,Green Island High,200 Meter Dash,Track,NA,21.83,23.18,NA,NA
10,Antonio Henry,16,Kingston College,200 Meter Dash,Track,NA,21.88,23.29,NA,NA
11,Kadeesh Willis,16,St. Jago High,200 Meter Dash,Track,NA,21.85,23.31,NA,NA
12,Zavian Williams,15,Calabar High,200 Meter Dash,Track,NA,23.67,22.67,NA,NA
13,Brandon McINTOSH,15,ST Thomas Technical,200 Meter Dash,Track,NA,23.60,22.93,NA,NA
14,Delroy Patterson,16,Herbert Morrison,200 Meter Dash,Track,NA,22.42,23.06,NA,NA
15,Tevin Dixon,16,Foga Road High,200 Meter Dash,Track,NA,21.92,23.16,NA,NA
16,Allayne Cunningham,16,Guy's Hill High,200 Meter Dash,Track,NA,22.56,23.18,NA,NA
